Station4_mp_56,Station4_mp_57,Station4_mp_58,Station4_mp_59,Station4_mp_60,Station4_mp_61,Station4_mp_62,Station4_mp_63,Station4_mp_64,Station4_mp_65,Station4_mp_66,Station4_mp_67,Station4_mp_68,Station4_mp_69,Station4_mp_70,Station4_mp_71,Station4_mp_72,Station4_mp_73,Station4_mp_74,Station4_mp_75,Station4_mp_76,Station4_mp_77,Station4_mp_78,Station4_mp_79,Station4_mp_80,Station4_mp_81
35221.32,20614.83,12216.62,0.003699219,0.0007363281,22.76622138763729,0.0011739749541777183,2199.3157793945743,25175897.41136417,0.002193359,22975.86,10609337.466457402,0.003222656,33364.02,19386.24,11976.29,0.003478516,0.0007617188,23.07199,0.001423828,1801.538,26297910.0,0.001960938,21112.8,10914561.668242617,0.003
33489.0,19355.48,12012.82,0.003564453,0.0007246094,44.23135631825947,0.0011316807561124976,1936.546691340867,25608630.754198562,0.0019375,21258.92,10659860.809057789,0.00303125,33719.72,19930.36,11807.09,0.003599609,0.0007246094,59.60265,0.001162109,1903.44,26462660.0,0.001939453,21418.5,9844606.141606232,0.003021484
35104.04,20170.69,12232.0,0.003564453,0.0007382813,47.08936813700379,0.0009379009969916344,2107.337989683592,28735778.05628487,0.002126953,22418.29,11159466.210095584,0.00309375,34459.95,20334.12,12249.31,0.003632813,0.0007578125,55.75732,0.001048828,2197.607,27657300.0,0.002126953,22470.2,9945519.891155686,0.003097656
33252.51,19090.15,12001.28,0.003570313,0.0007304688,23.53924799801441,0.001078725423120681,1612.1488983281897,30047135.07729794,0.002097656,20993.59,10737295.369762843,0.003066406,33804.32,19972.66,11903.23,0.003599609,0.0007402344,26.91733,0.001048828,2141.85,25546950.0,0.002121094,21976.07,10319055.893735984,0.003095703
32977.57,18895.96,12178.17,0.003714844,0.0007421875,44.21652893264755,0.0009800701526308225,2537.450830350858,23213750.467682105,0.00221875,20782.1,10728326.885577366,0.003197266,34556.08,20489.85,12157.02,0.003492188,0.0007304688,48.06665,0.001373047,1964.965,28240680.0,0.001960938,22589.4,10328153.883300938,0.003019531
34871.39,20676.35,11780.18,0.003626953,0.0007539063,16.277116379445783,0.0009189851624251391,1989.0442143997193,28206671.217429977,0.002148438,23022.01,10114954.472165136,0.003125,33523.61,19030.55,12114.72,0.003623047,0.000734375,23.07199,0.001123047,1872.677,25679690.0,0.002105469,21245.46,11367016.820175027,0.003097656
32921.81,18924.8,11822.47,0.003679688,0.0007714844,50.253161015020396,0.0010602182378343743,2129.739296568343,28798830.785236165,0.002207031,20916.69,11719263.710814308,0.003173828,34056.19,19009.4,12058.96,0.003580078,0.0007285157,48.06665,0.001298828,1795.77,28427490.0,0.002132813,21178.17,10017791.530367116,0.003087891
32835.29,18721.0,12007.05,0.003650391,0.0007441406,43.62454898981482,0.001177014954054154,2355.603499968317,28803811.960274406,0.002207031,20782.1,10808890.713545945,0.00315625,33404.4,19388.17,11526.38,0.003599609,0.0007226563,49.98932,0.001035156,1932.28,26865550.0,0.002115234,21693.44,11233788.713140912,0.00309961
33066.01,19138.22,11822.47,0.003603516,0.0007597657,26.110420762561542,0.0012128236979919188,2232.96188295567,26982407.113520816,0.002162109,21028.2,10596192.486482099,0.003105469,34398.42,20524.46,11862.85,0.003699219,0.0007402344,26.91733,0.001240234,2172.613,26129320.0,0.002208984,22452.9,9202222.240720896,0.00319336
33116.0,18994.02,12430.04,0.003583984,0.0007382813,41.03958138802917,0.001329243900329169,2077.9791936287356,27153937.743036527,0.002115234,20924.37,10449497.99252596,0.003076172,33698.57,19778.47,11749.41,0.003640625,0.0007675781,30.76266,0.0008906251,2311.045,27427850.0,0.002195313,21833.8,10625425.223255511,0.003164063
32733.39,19395.86,12089.73,0.00353125,0.0007578125,12.380866456579778,0.001054105278589172,1639.1669050687078,26608413.90302632,0.001992188,20241.83,10415364.695793256,0.0029375,33000.64,19207.44,12001.28,0.003695313,0.0007226563,21.14933,0.001152344,2155.309,25135690.0,0.002230469,21099.34,11038138.749160137,0.003177735
33523.61,18867.12,12091.65,0.003701172,0.0007460938,59.97727549926043,0.0011813809524973903,2124.2416774248263,29010860.34663976,0.002183594,21345.44,10470559.197113136,0.003201172,34852.17,20378.34,12099.34,0.003751953,0.0007441406,49.98932,0.001085938,2124.546,26687310.0,0.002142578,22960.48,10911128.576242685,0.003226563
35300.15,18722.92,12272.38,0.003498047,0.0007382813,16.026978824916462,0.0011131844167737897,1666.315130454973,28084338.82254726,0.002017578,23173.89,11499535.389501479,0.003,34115.79,20807.09,11787.87,0.003599609,0.000734375,19.22666,0.00109375,1922.666,25679690.0,0.002085938,22454.82,9861440.700045813,0.003095703
33381.33,19438.16,12193.55,0.003556641,0.0007187501,23.959438999776737,0.0011734844648173977,1833.7593523344526,26214150.218945943,0.002080078,21028.2,11246974.598206058,0.003052735,34506.09,20266.82,11772.48,0.003707031,0.0007460938,28.83999,0.001371094,2180.303,25682310.0,0.002208984,22568.26,10227624.659542918,0.00319336
34273.45,19641.96,11920.53,0.003621094,0.0007265625,20.38417143614998,0.0011646863037813994,1986.7997255978464,26594639.501066167,0.002154297,22004.92,11014520.509724032,0.003121094,33538.99,20249.52,11632.13,0.003712891,0.0007324219,19.22666,0.001021484,2205.298,27832070.0,0.002185547,22141.42,9771995.47518602,0.003244141
35388.59,20676.35,12385.82,0.003619141,0.000734375,55.995189543626054,0.0010521579309366676,2182.9655138133926,27857757.36868039,0.002142578,23316.17,11281344.423913265,0.003097656,33292.89,19228.58,12182.01,0.003599609,0.0007285157,49.98932,0.0008906251,1615.04,26709440.0,0.002085938,20968.6,11306944.880243484,0.003066406
33075.62,18340.31,12182.01,0.003615235,0.0007187501,29.704103604459526,0.0010457757364438563,2131.5058439371255,28109955.187502135,0.002152344,20889.77,11329840.893524777,0.003089844,32648.8,18476.82,12137.79,0.003642578,0.0007304688,28.83999,0.0009902344,2059.176,25304060.0,0.002171875,20618.67,10893555.504521096,0.003107422
33712.03,19368.94,11878.23,0.003595703,0.0007675781,22.758735786983916,0.0010933515094096442,1993.1282657206414,27398689.380044017,0.002121094,21539.63,10455422.51053686,0.003085938,32389.24,18351.85,11645.59,0.003558594,0.0007421875,19.22666,0.001123047,2311.045,24208440.0,0.002132813,20524.46,10378008.78576022,0.00303125
32421.92,19355.48,11847.47,0.003566406,0.000734375,42.82269081415876,0.0010804584232329156,2111.4150470646914,26359986.369109325,0.002105469,20874.39,10555060.422633676,0.003076172,33402.48,19932.28,11895.54,0.003464844,0.0007246094,46.14399,0.001068359,2005.341,28021160.0,0.002054688,21645.38,10913633.268447708,0.00303711
32658.41,18820.98,12132.02,0.003619141,0.0007128906,36.87691951719643,0.0011981736962005506,1951.415080101923,27639728.475167435,0.002134766,20534.07,10645082.167498568,0.003060547,34461.87,20649.44,11918.61,0.003599609,0.0007324219,34.60799,0.0010625,2030.335,25978930.0,0.002095703,22641.32,10046648.063478434,0.003103516
34442.64,20907.07,11828.24,0.003498047,0.0007226563,22.689653664557483,0.0012359041282687523,2024.0481779288643,28569466.06300511,0.002001953,22539.42,10541506.091715015,0.003003906,33992.74,19815.0,12226.23,0.003511719,0.0007519532,24.99466,0.001048828,2253.365,25810850.0,0.002107422,21949.16,10517957.837172374,0.003052735
34517.63,20634.05,11978.21,0.003599609,0.0007226563,61.52816798906088,0.00110914255344822,2240.4239977802986,27111621.813540723,0.002134766,22597.1,11000453.63639482,0.003134766,34896.39,20837.86,11841.7,0.003560547,0.0007089844,51.91199,0.001302734,2164.922,27670820.0,0.001953125,22856.65,10193425.001764731,0.002994141
32685.33,18594.11,12218.54,0.003597656,0.0007226563,30.3217211652893,0.0010394581489742945,2038.9180960902465,27282998.94813299,0.002126953,20491.78,11235931.549489269,0.003097656,34502.24,20482.16,12032.04,0.003636719,0.0007226563,40.37599,0.0009746094,1922.666,26071970.0,0.002134766,22664.39,11074866.401025211,0.003158203
32929.5,18849.82,12043.58,0.003650391,0.0007304688,10.937687711688199,0.0010697857227760456,2232.399091047399,25696573.340370417,0.002136719,21141.64,10449610.999377042,0.003101563,33515.92,19778.47,11951.29,0.003494141,0.0007421875,7.690665,0.001181641,1859.218,25042620.0,0.001933594,21576.16,11289206.401223488,0.002994141
34110.02,20026.49,11914.76,0.003597656,0.0007148438,27.480948591278406,0.0010584717027482626,1667.905761848572,28549050.073320042,0.002078125,21951.08,10910686.241060058,0.003066406,33538.99,19728.48,11797.48,0.003601563,0.0007324219,28.83999,0.001078125,1866.909,25858220.0,0.002107422,21489.64,10562430.011058811,0.003101563
33221.75,19347.79,11947.45,0.003671875,0.0007460938,16.270492173124772,0.0010212043002812594,2072.838571730442,29954123.758496724,0.002134766,21297.37,11226723.298760565,0.003128906,35282.85,21160.86,12010.9,0.003646485,0.0007558594,21.14933,0.001009766,2187.994,25349410.0,0.002117188,23604.57,11136677.494902428,0.003158203
32298.87,19401.62,11835.93,0.003583984,0.0007285157,20.050764779097634,0.0013205299440973378,2221.6510358057308,29009018.974424634,0.002128906,20349.5,11031315.518830232,0.003087891,33440.93,19632.35,11930.14,0.003560547,0.0007363281,19.22666,0.0010625,1884.213,25704890.0,0.002082031,21401.2,10546404.456941081,0.003087891
35430.89,20880.16,12285.84,0.003603516,0.000734375,25.592710179782056,0.0011105054704459696,1880.603774202371,28862514.15349668,0.002144531,22604.79,10961192.562866762,0.003091797,33400.56,19163.21,12218.54,0.003556641,0.00075,36.53066,0.001044922,1749.626,25825550.0,0.002078125,21210.85,9704614.764601959,0.003039063
32741.08,19442.0,11924.38,0.003617188,0.0007246094,16.69565419651622,0.001120187886931041,2037.381224646486,28646129.868332554,0.002162109,21028.2,10787878.24478854,0.00309375,33527.45,19320.87,11759.03,0.003607422,0.0007363281,17.304,0.001128906,1895.749,25118340.0,0.002125,21729.97,10146804.53457066,0.003107422
33225.59,18951.72,12055.12,0.003708984,0.000734375,61.23654275996873,0.0010404143261505381,2302.6160598798524,28961837.666816022,0.002171875,21028.2,10759235.087810017,0.0031875,35519.34,20922.45,12345.44,0.00363086,0.00075,51.91199,0.001160156,2289.896,28285920.0,0.002128906,23544.97,9557494.883686077,0.003164063
34302.29,20057.25,12130.1,0.003611328,0.0007167969,30.512975924145362,0.0012842093920127035,2252.348126566651,24709541.24962742,0.002158203,22285.62,11519074.470604977,0.003066406,33992.74,19724.63,11872.46,0.003513672,0.0007578125,46.14399,0.001289063,1861.141,23213700.0,0.001955078,21893.4,9555557.987096885,0.003007813
33346.72,19268.96,12330.06,0.003582031,0.0007246094,23.072576864556922,0.0011604325526668102,1813.005862282283,26452136.504144203,0.002105469,21132.03,10891759.365999145,0.003083985,35304.0,21345.44,11828.24,0.003708984,0.0007324219,19.22666,0.001246094,2153.386,25647050.0,0.002175781,23100.83,10085533.762653701,0.003222656
34186.93,19634.27,12083.96,0.003720703,0.0007460938,56.6853922176601,0.001190040558645512,2202.965994848356,28231437.128670473,0.002207031,21735.74,10340027.241590122,0.003205078,34079.26,21274.3,11955.14,0.00363086,0.0007324219,51.91199,0.001068359,1695.792,28403880.0,0.002019531,22870.12,10394786.562200967,0.003160156
34575.3,20478.32,11828.24,0.003617188,0.000734375,26.502044473583233,0.0010679369645254285,2004.2138835886092,28411925.83974104,0.002138672,22318.31,10985742.19906039,0.003109375,36271.1,21891.48,12170.48,0.003619141,0.000734375,23.07199,0.001048828,2043.794,24027990.0,0.002113281,23837.21,9312229.988991037,0.003089844
32952.57,18513.35,12060.89,0.003582031,0.0007402344,23.81237627327723,0.0011254812723822043,2192.4024256823736,28747373.79986588,0.002099609,20697.5,11417556.705797033,0.003039063,32648.8,19228.58,12024.35,0.003617188,0.0007324219,23.07199,0.001121094,1797.693,26084870.0,0.002103516,21293.53,9444075.61119528,0.003111328
33875.45,20247.6,12233.92,0.003664063,0.0007597657,12.836925773283754,0.0011477444863090486,2143.671881904479,26516504.997716896,0.002207031,21787.65,11620949.799849533,0.003175781,34734.89,20209.14,12022.43,0.003773438,0.0007421875,15.38133,0.001304688,2205.298,25878400.0,0.002208984,22697.07,9497582.927035263,0.003222656
35450.12,21047.43,12262.76,0.003599609,0.0007285157,59.715598855544314,0.0011355306754556927,1799.253485533665,28737769.909643598,0.001955078,23596.88,11327980.688049963,0.003058594,33141.0,18915.19,12107.03,0.003652344,0.000734375,55.75732,0.001060547,2174.535,27466320.0,0.002119141,20662.89,9674058.83106439,0.003189453
32710.32,18767.14,11778.25,0.003578125,0.0007324219,16.109916190012083,0.0010356124113848262,2145.5747389227868,29071106.137756094,0.002132813,20835.93,10915985.189797577,0.003076172,34011.96,19778.47,11949.37,0.003513672,0.0007402344,21.14933,0.001035156,1849.605,25175200.0,0.002085938,22318.31,9751849.38489413,0.00303125
35179.02,21068.58,12093.57,0.003599609,0.0007207032,29.82907799571425,0.0009994527462374508,1732.0694744517887,26783051.755375445,0.002048828,23154.67,11013084.667638453,0.003087891,32923.74,19215.13,12078.19,0.003623047,0.0007402344,42.29866,0.001275391,2161.077,24907550.0,0.002195313,21051.27,10405932.031889899,0.003113281
32796.84,18299.94,12132.02,0.003601563,0.0007246094,20.206918824359388,0.0011022816270007951,1910.4976187895577,28611488.004634928,0.00209375,20534.07,10971040.252973787,0.003119141,32777.61,19340.1,11824.4,0.003550781,0.0007578125,23.07199,0.001048828,1866.909,24769120.0,0.002064453,21162.79,10818857.366165781,0.003058594
34942.54,20759.03,12237.77,0.003628906,0.0007128906,21.809230647468723,0.0010185362847507451,2187.4289492147686,25698845.20250503,0.002136719,22612.48,10373605.386027403,0.00316211,33796.63,19586.2,11693.66,0.003599609,0.0007128906,26.91733,0.001246094,1926.511,24208440.0,0.001962891,21860.71,11035809.633353045,0.002994141
34540.7,20216.84,12274.3,0.003621094,0.00075,39.18201404513178,0.0010345050143283463,1854.32018681547,26490496.67980816,0.002119141,22468.28,10941436.954604892,0.003119141,33498.61,19443.92,11760.95,0.003740235,0.0007480469,48.06665,0.001337891,2168.767,25932860.0,0.002197266,21437.73,10468810.679608677,0.003226563
33837.0,20032.26,12237.77,0.00363086,0.0007421875,45.35900529573138,0.0011201873383788522,1863.5183662520412,29990650.807789687,0.002107422,21824.18,11245156.21142668,0.003111328,32823.76,18830.59,12032.04,0.003621094,0.0007304688,48.06665,0.001140625,2186.071,28200080.0,0.002128906,20682.12,10771609.381719245,0.003107422
34302.29,20524.46,11903.23,0.003591797,0.0007265625,27.98946485825334,0.0012517372772106715,1781.622916483076,27968845.142564137,0.002080078,22262.55,10287264.764303422,0.003080078,34317.67,21212.78,11943.6,0.003685547,0.0007207032,24.99466,0.001041016,1920.744,27886410.0,0.002126953,22706.69,9445841.99162326,0.003257813
32862.21,17973.08,12431.96,0.003589844,0.0007402344,52.97627538242505,0.0011384051034452447,1896.3010670005049,28883963.551460303,0.002099609,20364.88,11356477.14359099,0.003070313,33719.72,19722.71,12207.01,0.0036875,0.0007382813,42.29866,0.001013672,1803.461,27892940.0,0.002105469,21826.11,10710730.493830953,0.003189453
