Station2_mp_6,Station2_mp_7,Station2_mp_8,Station2_mp_9,Station2_mp_10,Station2_mp_11,Station2_mp_12,Station2_mp_13,Station2_mp_14,Station2_mp_15,Station2_mp_16,Station2_mp_17,Station2_mp_18,Station2_mp_19,Station2_mp_20,Station2_mp_21,Station2_mp_22,Station2_mp_23,Station2_mp_24,Station2_mp_25,Station2_mp_26,Station2_mp_27,Station2_mp_28,Station2_mp_29,Station2_mp_30,Station2_mp_31,Station2_mp_32,Station2_mp_33,Station2_mp_34,Station2_mp_35,Station2_mp_36,Station2_mp_37,Station2_mp_38,Station2_mp_39
34826.93224033886,0.003665371436694656,57335.83,40041.45,16336.89,0.004023438,0.001318359,33.61028077601042,0.0009690251401013556,1137.7436721777215,28380259.125745036,0.001580078,41296.95,8723953.05343433,0.003169922,35279.0,0.003675781,52519.55,35796.2,16033.11,0.003947266,0.001349609,36.53066,0.0009406721325527796,1208.1022778154756,29299510.0,0.001548828,36647.94,6201740.0,0.003078125,-0.0015646903763169076,0.000866343533858655,-0.0005148608934378395,0.0018743879040090349
35033.55573816512,0.0036587430671964826,53892.34,37547.75,16292.67,0.003943359,0.001347656,40.692802042993904,0.0009206882903058572,1149.9433716233832,25142843.45453572,0.001630859,38409.1,6223353.34660934,0.003134766,35027.13,0.003652344,53242.47,34208.08,16484.94,0.003949219,0.001306641,34.60799,0.0008784445866442749,1169.3128136561193,24411510.0,0.001597656,36730.61,5151709.0,0.003021484,-0.0018867768309030423,0.0013117542036085008,-0.0016279581085330602,0.0005330504096653329
40443.31123897416,0.0036374139512252096,52413.8,36274.95,16263.83,0.003945312,0.00134375,37.33933351066947,0.000997757629544002,1188.1409971623368,26073350.438410852,0.001566406,36472.98,5566981.064298336,0.003060547,40460.59,0.003673828,58210.64,41398.85,16092.72,0.003976563,0.001240234,36.53066,0.0008403096907188978,1204.6641320535246,24288640.0,0.001576172,42725.49,10134880.0,0.00315625,-0.0009278507221673016,0.0018321370686762034,-0.0005686739722967849,0.002327320216791735
36955.878037794355,0.0036605682520443068,58310.62,40247.17,16363.81,0.004023438,0.001291016,34.77085317119569,0.0009307695034196294,1177.0140241679499,26471721.089600522,0.00159375,41679.56,7604964.211266081,0.00316211,36934.42,0.003675781,55455.46,38113.01,16265.76,0.003945312,0.001302734,36.53066,0.0009107443315833247,1154.1552439799946,24873760.0,0.001580078,39314.68,6901770.0,0.003091797,-0.0005063729160723358,0.0009234473146807075,-0.0013443437900061731,0.0007799235686745882
38170.38066176669,0.003670078517769831,53548.18,35988.46,16210.0,0.003939454,0.00128125,34.16251658458506,0.0008486050441863324,1138.3502241993297,28201205.061738245,0.001597656,37670.8,9403041.950094454,0.003113281,38024.57,0.0036875,56241.83,39116.64,15902.37,0.003947266,0.001289063,40.37599,0.0008923601254380198,1240.234612714153,26521540.0,0.001546875,40449.05,7120519.0,0.003085938,-0.001925759981334393,0.0008531204875496877,-0.0006100164214549782,0.0006190714795291755
36595.06393477037,0.003672727025562056,56753.26,39257.0,16167.7,0.003964844,0.001292969,24.67284173114243,0.0009309114194917467,1137.2048817888347,27460731.964967605,0.001578125,40539.42,6981211.070293202,0.003113281,36528.73,0.003650391,54686.39,38068.79,16261.91,0.003964844,0.001320313,26.91733,0.0009110619455926784,1189.6479822228616,27360030.0,0.001597656,38922.45,6365813.0,0.003119141,-0.0014339950205182355,0.0024101041323261923,-0.0005256329367372804,0.0012784118101211008
36561.193168597776,0.00370051443532056,55697.71,39143.56,15952.36,0.003935547,0.001304688,36.06091218601296,0.0008156744855887742,1184.8653966849972,25597819.996327292,0.001626953,39924.16,9906043.812007101,0.003113281,36005.77,0.003675781,53938.48,37580.43,16148.47,0.00396875,0.001318359,36.53066,0.000991252183164735,1199.2796853042803,24932080.0,0.001566406,38414.87,6420503.0,0.003066406,-0.0016786945654530313,0.0016263223018888324,-0.0018805644830856192,0.0011084617826406689
37976.63401606213,0.0036426901572431227,57810.73,41102.76,16144.63,0.003943359,0.001285156,29.804048089351976,0.0009892441266067776,1228.858329184602,25721891.610980503,0.001564453,41898.74,9851734.681077609,0.003144532,37957.27,0.00363086,56249.52,38434.1,15927.37,0.003939454,0.001275391,32.68533,0.0009295846310385124,1232.266642467989,24758460.0,0.001601563,40139.5,7733038.0,0.003123047,-0.000480515971856825,0.0016518375442477245,-0.0004638033052017448,0.0012969679015156603
38397.10336313879,0.003665217052174946,55541.98,38361.04,16256.14,0.003970703,0.001298828,34.70912403466012,0.0010287410723871177,1159.688723177974,23956328.09536335,0.001576172,39353.13,6398074.021222115,0.003087891,38076.48,0.0036875,55976.5,39395.43,16113.87,0.003962891,0.001294922,36.53066,0.0009466532701750123,1158.2180708061378,25785310.0,0.00159375,40475.97,9787467.0,0.003134766,-0.0003655830004642963,0.0006951477921889647,-0.000500093965385665,0.0013253244817206414
36918.47560044098,0.0036375478854338427,56522.54,39091.65,16258.07,0.003962891,0.001289063,35.376502893573175,0.0009441235722275405,1123.4164909254334,27409515.262213368,0.001603516,40389.45,6774882.349162591,0.003142578,36396.07,0.003642578,55451.61,37743.86,16148.47,0.003875,0.0013125,40.37599,0.0008802899338775856,1124.3648389899906,25728760.0,0.001634766,39047.43,7262721.0,0.003105469,-0.0004162573381565403,0.0020192060026028545,-0.0014413381739629004,0.0009911942702674787
38778.87157215698,0.003659242792709208,57080.11,39908.78,16111.94,0.003998047,0.001294922,32.79888598922525,0.0009284803860751645,1195.0449156888608,27027633.91348577,0.001597656,41070.07,5294201.778049484,0.003166016,37957.27,0.003720703,57612.7,40058.75,15988.89,0.004,0.001328125,38.45333,0.000927503200556185,1231.2308550471491,25314380.0,0.001595703,41616.11,10098440.0,0.003148438,-0.0006910927707083994,0.0024040655206094413,-0.0005315990234363941,0.0009560922218236677
37718.40223387949,0.003656727608563253,57829.95,40485.58,16183.08,0.003933594,0.001248047,34.156603287886334,0.0009091548720075536,1168.5374759105487,26402353.015510995,0.001574219,41619.96,9023242.217792874,0.003095703,38011.11,0.003673828,56357.19,38912.84,16002.35,0.003933594,0.001291016,36.53066,0.0008632040446552849,1144.8644423476544,25183550.0,0.001605469,39962.62,7181669.0,0.003107422,-0.00014594142452365534,0.0017214977390569287,-0.0005723360301279448,0.0011923364716089888
36447.09140594911,0.0036700308992276384,54505.66,37630.43,16309.98,0.003945312,0.001296875,36.45307330263277,0.0009072227699590447,1156.1039452036837,29988387.76984183,0.00159961,38701.35,9221414.797114756,0.003111328,35186.71,0.003642578,55522.75,38234.14,15900.45,0.003947266,0.001308594,34.60799,0.0008777220143057823,1177.3184149989893,28636250.0,0.001548828,39314.68,6781454.0,0.003054688,-0.0014883353465171376,0.0021261837932308406,-0.00020082227647499922,0.0013571782356090335
39713.9732172407,0.0036771104907919413,55682.34,38182.23,16048.49,0.003943359,0.001320313,26.67313936751038,0.0009684065242243726,1101.6708436594392,24761823.597910453,0.001572266,39353.13,6445463.8846215755,0.003113281,38857.08,0.003703125,57878.02,40629.79,16163.85,0.004023438,0.001306641,34.60799,0.0009293773164480904,1178.4095650534964,25701030.0,0.001603516,41633.41,8389314.0,0.003175781,-0.0004305933050606287,0.0011150450253186671,0.0007341546449286526,0.0010032184010050436
39648.75093005412,0.0035943780365625603,57703.05,40983.55,16167.7,0.003892578,0.001238281,32.03763414578467,0.0009632361395558609,1188.4236272436196,29572034.06824006,0.001578125,41791.07,7970994.6489158925,0.003101563,39778.04,0.003673828,57505.02,40168.34,15958.13,0.003943359,0.001267578,34.60799,0.0009590123824904385,1173.2964303786187,27631510.0,0.001605469,41485.37,11018620.0,0.003105469,-0.001482043350894559,0.0014658353806638429,-0.0004797491975932651,0.0008955101833065882
37348.47628713738,0.0036590347913383514,55493.91,38635.98,15971.59,0.003939454,0.001292969,28.40191366487634,0.000895220523680402,1179.8264608383986,27582686.214003038,0.001611328,39531.94,5991886.714056622,0.003107422,37413.16,0.003644531,56064.95,38943.6,15940.83,0.003947266,0.001289063,24.99466,0.0009808710603781948,1220.4244992741667,27887720.0,0.001572266,40154.88,8148680.0,0.003117188,-0.0002567221604535694,0.002212719388921231,-0.0006219686881458528,0.0010603853686690253
37356.626540772915,0.0036316972763494725,55384.32,38341.81,16181.16,0.003964844,0.001273438,27.256777174353342,0.0009442684568280027,1239.3885888019422,24791406.298208993,0.00159961,39672.29,7669372.593431869,0.003115234,37749.63,0.003623047,55522.75,38157.23,16058.11,0.003904297,0.001289063,36.53066,0.0010085027860160854,1152.7076102521323,24895880.0,0.001570313,39395.43,9687428.0,0.003046875,-0.0006994704599972961,0.0026425900796727382,-0.0007461376122324521,0.0011272773962609159
33798.48659648001,0.0036753445184956233,55697.71,37786.16,16161.93,0.003988281,0.001292969,20.211789582662178,0.0009187044163102891,1175.4978131387602,26325173.852682747,0.001595703,39876.1,6605194.7784801535,0.003121094,34408.04,0.003673828,53248.24,33256.36,15952.36,0.003945312,0.00134375,30.76266,0.0009658899504107577,1172.1034291150022,27013910.0,0.001576172,35077.12,7431705.0,0.003117188,-0.0005779337109137202,0.002357241787203827,-0.0010575827304275835,0.0010520942303133502
34372.287508516434,0.0036591968884061685,57074.34,39633.84,16242.68,0.003986328,0.001285156,30.27439968328734,0.0009041314418256342,1227.9879118027445,28192456.795510933,0.001595703,41164.29,7398963.759425375,0.003167969,34525.32,0.003626953,52248.45,37234.35,16429.18,0.003890625,0.00134375,40.37599,0.0008627768158959489,1147.2710021434345,29687200.0,0.001601563,37176.68,5198529.0,0.003050781,-0.001776775110490933,0.0006905408348250625,-0.0007947913892002846,0.0015667916256631058
35562.783660367124,0.003707242008333559,58272.17,40625.94,16258.07,0.003863281,0.001285156,40.418941274240254,0.0009864519152177765,1112.1491114530334,24830325.8270328,0.001574219,41927.58,10318337.578352178,0.003101563,34636.83,0.003654297,53127.11,36032.69,16479.17,0.003964844,0.001332031,36.53066,0.0008466842912517582,1155.4776037024235,25178220.0,0.001568359,37401.63,5807984.0,0.002988281,-0.0006401238112881177,0.0007008168842196026,-0.001697466125587467,0.0006120945157845486
37173.159293620374,0.0036761097789098814,58320.23,40983.55,15871.61,0.004,0.001322266,26.96377993177869,0.0009675291078993321,1156.3770514709654,25158237.50006466,0.001576172,42806.24,9348724.430987222,0.003125,37457.38,0.003703125,56036.11,39053.2,15933.13,0.003939454,0.001308594,28.83999,0.0008869136393362653,1178.4438917361895,27099510.0,0.00159961,40129.89,7897111.0,0.003091797,-0.0013124744982260883,0.0008623075009956641,-0.0003429338554437495,0.002247507523507432
