Station5_mp_82,Station5_mp_83,Station5_mp_84,Station5_mp_85,Station5_mp_86,Station5_mp_87,Station5_mp_88,Station5_mp_89,Station5_mp_90,Station5_mp_91,Station5_mp_92,Station5_mp_93,Station5_mp_94,Station5_mp_95,Station5_mp_96,Station5_mp_97
11025.21,6445.417,0.005259766,232.36545626327901,0.0005356315909095773,4656.067508662673,5052220.585111987,0.004720703,11230.93,5847.468,0.005197266,383.2514,0.0017940174526567664,5485.641421914165,4794166.65494268,0.004714844
11374.49,5869.258,0.005396485,244.05631741928676,0.0005429189913057024,5419.627583453629,4047493.5617882176,0.00494336,10980.99,6219.825,0.005417969,370.4337,0.00047009184700329574,4784.99761940673,4600069.815147442,0.004945313
11462.94,5712.241,0.005398438,247.48495971756947,0.0005020462891607175,5723.394861578944,4078615.8480236162,0.004925781,10975.86,6366.588,0.005234375,413.3732,0.0018503592609607931,4437.869315639592,4353879.365578677,0.004753906
11225.81,6324.93,0.005419922,251.0815250261372,0.0004824223382515927,4898.30117986574,4593696.702887225,0.004916016,11381.54,5491.775,0.005427734,392.2239,0.0004535179500025186,5752.137813172879,4734074.419286114,0.004945313
11281.56,6171.117,0.005365235,243.61199691937165,0.0007191878350846722,5257.011012713651,4294330.439252262,0.004814453,11135.44,6116.642,0.005333985,373.6381,0.0007071709446813702,5061.91970778709,4687439.436799673,0.004841797
11482.16,5692.373,0.005392578,236.88987307049698,0.0005854111484599234,5675.437938830235,4179966.551958107,0.004896485,11105.32,5894.894,0.005144531,374.279,0.0021109471833468405,5144.546498595103,4329494.924593982,0.004599609
11470.63,5635.334,0.005445313,220.69724210815457,0.000571238837787591,5866.370743824398,4453050.576352354,0.004958984,11268.1,5933.347,0.005384766,386.4559,0.0002140173832756998,5339.37426767918,4080459.6294588167,0.004947266
11295.66,6316.599,0.005419922,235.23881339829586,0.0006046449386760299,4915.020479844597,3991238.6658905405,0.004931641,11071.35,5902.584,0.005109375,381.9697,0.000758572636707585,5044.075293636043,4680341.810568126,0.0046875
11307.84,5969.878,0.005435547,247.23233541195438,0.001757996279760721,5399.846613640018,4420941.029057547,0.004957031,11027.13,5982.055,0.005216797,412.0914,0.0020110603472546125,5074.186242251748,4325008.951810526,0.004638672
11277.08,6308.267,0.0051875,217.62311212122776,0.00037784621437919456,4982.999569617269,5317164.226681632,0.004871094,11103.4,5859.004,0.005357422,362.743,0.0004924142779222713,5090.0563619240365,4832543.865462431,0.004888672
11367.44,6100.619,0.005222656,216.51507068090393,0.0008289852173295202,5348.511864413928,4007707.6715999236,0.004699219,11135.44,6049.348,0.005152344,393.5057,0.0006533906738595037,4696.894845536502,4190727.6665078476,0.004644531
11444.99,5969.878,0.005246094,225.11848177533014,0.0008042137255921244,5519.310339251775,4947263.9026182555,0.004699219,11205.94,5746.849,0.005144531,399.9145,0.000776824453386902,5475.328723386938,4274696.570753719,0.004683594
11454.6,5838.496,0.005421875,212.6996214730972,0.00047458566644899703,5625.007407683624,4119514.563010857,0.004929688,11156.59,6128.178,0.005150391,369.1519,0.0021784335880058875,5056.52773274821,4152089.57030611,0.004650391
11446.91,5674.428,0.005376953,252.82664666721445,0.0005100207228686788,5738.933972372016,4327984.088199119,0.004900391,11142.49,5933.347,0.005439453,372.9972,0.0005387034857154327,5303.589847304452,4802164.837376335,0.004927734
11316.81,6246.101,0.005435547,252.61540889297427,0.0005390871341589501,5061.28917188552,4392733.133361634,0.004933594,11211.71,5928.861,0.005384766,399.9145,0.0006175239353328616,5271.0188117463895,4296122.564377736,0.004869141
11436.66,5846.828,0.005310547,233.15669530999486,0.0019728953304999895,5596.832260340028,4787874.742507408,0.004744141,11134.16,6151.89,0.005179688,365.3065,0.0008650155562376698,4866.882961228648,4345274.83179808,0.004699219
11143.77,6510.788,0.005310547,228.29266762180575,0.0006389060615508025,4869.028224109885,4232461.949860678,0.004886719,11054.69,6281.35,0.005417969,396.0692,0.0007079338242512178,4844.781642783235,4388539.260191848,0.004931641
11453.96,5844.264,0.005458985,235.70582709906307,0.000344451240680962,5548.185821630892,4224443.7374055395,0.004945313,11289.9,5710.318,0.005359375,381.9697,0.0006195930049088356,5453.923744214678,4490430.048424654,0.004869141
11258.49,5941.038,0.00534375,239.2786146180116,0.00041174453422407125,5190.808787797109,4432887.569909521,0.004882812,11350.78,5265.542,0.00540625,376.8426,0.0003577521198065217,5710.337965798351,4152657.625993736,0.00497461
11382.18,6223.67,0.005417969,244.45348037932297,0.0003814873857874351,5178.075665897116,4356504.189798081,0.004882812,11039.31,6107.028,0.005117188,371.7154,0.0005738837484697886,4926.271387696288,4199322.276586116,0.004675781
11286.05,6110.874,0.005384766,243.42317368782216,0.0006623192384164737,5217.737994157588,4048178.2579200855,0.004828125,11155.95,5858.364,0.005341797,390.9421,0.0006844691205255228,5266.240323140527,4088355.7310189945,0.004796875
11480.24,5606.495,0.005326172,237.7541107075041,0.0005412548994280589,5769.821642949502,4489940.484529783,0.00488086,11243.75,5425.123,0.005232422,374.279,0.0007539138479158092,5734.164791918308,4329400.9290929,0.004705078
11413.59,5936.552,0.00521875,233.93061627926434,0.0017256972408755441,5523.946297723769,4234376.963446922,0.004712891,11104.04,6308.908,0.005185547,377.4834,0.0006459918103746002,4524.078288144089,4216229.169029099,0.004646485
11106.6,6634.479,0.005435547,216.95781109089336,0.0005498139825445714,4307.322825749353,4136825.3565997,0.004914063,11028.41,5930.143,0.005181641,370.4337,0.0006790462382740983,5071.445811264991,4253443.51152184,0.004636719
11453.96,5900.662,0.005373047,236.49154830377964,0.0006528331012619264,5521.475384718757,4109171.2963598887,0.004824219,11221.32,5686.605,0.00503711,355.0523,0.0007037894606877482,5607.430488940822,4251635.943972437,0.004697266
11166.84,6404.401,0.005326172,244.82703836038607,0.0005239403726339341,4825.51955254873,4413200.373941558,0.004855469,11252.72,5582.781,0.005451172,378.7652,0.0005287262908329055,5709.669440385424,4443445.20911991,0.00494336
11222.6,6452.467,0.005203125,239.33043022360994,0.0006210884738389026,4950.862996011001,4336875.765513446,0.004720703,11056.61,6025.635,0.005404297,386.4559,0.00042914123822362243,5223.364174516405,4440165.82464937,0.004945313
11278.36,6482.589,0.005324219,237.45430747699075,0.0005558213655890371,4461.084645706104,4404709.837598787,0.00478125,11120.7,5917.966,0.005166016,390.9421,0.0019991592285954827,5209.918820704534,4980586.715502286,0.00459375
11609.7,5556.505,0.005470703,214.41870571462383,0.0006216778580917856,6086.417886761572,4770042.4856754495,0.00494336,11135.44,6057.039,0.005257813,381.9697,0.0006601068637839761,5028.766290374538,5558434.042026645,0.004785156
11306.56,6051.271,0.005373047,245.6516673334949,0.00042966382941694013,5264.946822102283,4493381.938802289,0.004900391,11066.87,6156.377,0.005160157,392.8648,0.0015752620808883874,4907.399524192331,4295476.136729476,0.004626954
11380.9,6126.896,0.005388672,242.07145049911205,0.0005083437645281458,5305.97937897151,5396147.308665909,0.004919922,11170.05,5937.834,0.005423828,380.047,0.00047447888961499405,5265.160278807748,4766216.468924248,0.004929688
11609.7,5586.626,0.005482422,238.06942620210557,0.0004780214678856998,6009.439464598299,4616941.380966785,0.004955078,11112.37,5894.894,0.005240235,363.3839,0.0006034208388387045,5328.788302802181,4097749.166630463,0.004722657
11418.71,5922.453,0.005396485,233.9102008141454,0.0005532175630346622,5483.190951608547,5309094.398336967,0.004910157,11298.87,5624.439,0.00519336,372.9972,0.0019650218005052215,6100.503416441277,4067567.5580523587,0.004742188
11453.96,5922.453,0.005419922,218.5277991506256,0.0002939188988743645,5502.807784648435,4672081.335406945,0.004945313,11278.36,5382.824,0.005298828,385.815,0.0006136936100785794,5702.801247432539,4708681.946002925,0.004824219
11380.26,6087.161,0.00541211,250.43966377342244,0.0005405241770088618,5324.127041502703,4589192.593778104,0.004917969,11236.7,5832.728,0.005316406,354.4114,0.000723871077924635,5360.901737468827,4688085.215223547,0.004841797
11514.85,5474.471,0.005451172,230.75223759995046,0.0005552427174117653,5919.984114509439,4217362.969798185,0.004917969,11125.83,6042.939,0.00503711,378.1243,0.0010711772229734782,4995.1536695231725,4129368.3825750477,0.004599609
11300.79,6051.271,0.005183594,232.85625648325598,0.0007286184640554667,5336.137085941035,5150584.151343578,0.004746094,11076.48,6332.621,0.005332031,401.8372,0.0006670809916098629,4777.596651217233,4243505.034448134,0.004857422
11464.22,5520.615,0.005126954,250.18249899430145,0.0016784700616577052,6216.150073827016,4711366.986142245,0.004685547,11207.86,5748.131,0.005212891,394.1465,0.002061635421908768,5466.03243903177,5433692.097874391,0.004666016
11350.14,6538.987,0.005371094,233.59259278647704,0.00030355798159454835,5003.218187506529,3927954.953397574,0.004855469,11193.76,5875.667,0.005212891,380.6879,0.00074428828481204,5374.047725506098,4848645.842628018,0.0046875
11441.14,5872.463,0.005269532,239.70711421178598,0.0007086023557126321,5548.30413163465,3993009.342852575,0.004744141,11305.28,5265.542,0.005417969,368.511,0.0005690462121439868,5944.343389981645,4376387.099185599,0.004945313
10976.5,6400.555,0.005326172,244.75438714322036,0.0005052730577635434,4859.670130877384,4881172.308304981,0.004855469,11166.2,5882.717,0.005320313,401.8372,0.0007776610344866007,5154.732662547751,4212546.763233495,0.004833985
11668.66,5441.145,0.005539063,215.5151001357461,0.0008156577497465095,6510.5722612969175,5205095.22792754,0.004539063,11091.22,6194.189,0.005041016,418.5003,0.0017378708178201815,4575.653010200633,4340929.154486492,0.004599609
11361.67,6032.685,0.005408203,223.95500879614158,0.0003061208913571334,5379.901932335315,5062599.967559076,0.004916016,11014.31,5847.468,0.005199219,366.5883,0.0007340260902544491,5119.861033404639,4907248.086773456,0.004685547
11307.84,6233.284,0.005400391,246.82871730953036,0.0006183559711911037,4888.149663863072,4338954.453955019,0.004916016,11020.72,6587.695,0.00534375,413.3732,0.0006563909288137583,4701.743480903924,4449780.572091002,0.004855469
11472.55,5535.355,0.005402344,235.10210710502798,0.0005043185841048807,5877.697772552268,4001061.1030733874,0.004914063,11088.02,6232.643,0.00547461,401.8372,0.0006331438210600022,4973.475944268481,5573256.001533803,0.004917969
11405.9,6067.934,0.005253906,238.22106260077396,0.001783415212338742,5317.577533724051,4291563.97841706,0.004685547,11189.92,6128.178,0.005435547,403.7599,0.0005012460387985236,5120.462413803582,4954118.742812302,0.004916016
